image_id,hoi_id,verb,object
16428,494,hold,sports_ball
35280,18,repair,bicycle
21921,499,sign,sports_ball
11160,560,hold,toothbrush
21868,17,push,bicycle
14464,8,sit_on,airplane
35718,520,inspect,surfboard
26620,70,inspect,car
7564,20,sit_on,bicycle
32128,124,straddle,dog
28318,581,repair,umbrella
10305,87,carry,chair
30757,74,ride,car
1745,136,load,horse
25485,454,carry,skateboard
17563,139,race,horse
34436,110,sit_at,dining_table
24913,426,pick_up,pizza
10491,458,jump,skateboard
2970,147,hold,motorcycle
25077,462,stand_on,skateboard
37117,231,wield,baseball_bat
29819,521,jump,surfboard
31744,108,clean,dining_table
7118,421,cook,pizza
3062,41,sail,boat
33552,153,race,motorcycle
32037,132,hold,horse
30962,583,stand_under,umbrella
1624,454,carry,skateboard
21355,461,sit_on,skateboard
16885,228,sign,baseball_bat
28155,71,jump,car
35439,190,load,train
6937,112,carry,dog
18550,59,inspect,bus
36649,119,inspect,dog
25470,423,eat,pizza
18593,544,tie,tie
30422,53,pour,bottle
19611,187,board,train
23026,131,groom,horse
1806,130,feed,horse
33429,149,jump,motorcycle
33261,161,carry,person
16140,45,wash,boat
13765,573,ride,truck
14902,386,read,laptop
21057,192,sit_on,train
36411,88,hold,chair
1092,300,pour,cup
18089,284,carry,cell_phone
16849,211,inspect,backpack
26099,382,lick,knife
28641,461,sit_on,skateboard
1176,159,wash,motorcycle
16045,381,wield,knife
3687,167,tag,person
21049,456,grind,skateboard
37092,230,throw,baseball_bat
2065,20,sit_on,bicycle
33898,147,hold,motorcycle
1964,106,walk,cow
23521,420,carry,pizza
26538,185,wash,sheep
21703,500,spin,sports_ball
37174,248,carry,book
31609,37,launch,boat
26721,73,park,car
2505,58,exit,bus
37894,499,sign,sports_ball
5815,7,ride,airplane
37582,388,type_on,laptop
9397,373,inspect,kite
20605,365,clean,keyboard
36693,125,train,dog
20867,117,hose,dog
1745,137,hop_on,horse
23317,459,pick_up,skateboard
17875,140,ride,horse
23094,515,zip,suitcase
4912,11,carry,bicycle
4595,456,grind,skateboard
9459,67,direct,car
36223,51,lick,bottle
6921,21,straddle,bicycle
27700,304,wash,cup
10677,132,hold,horse
32217,551,clean,toilet
6682,270,light,cake
29177,570,inspect,truck
28912,148,inspect,motorcycle
27181,271,make,cake
21025,476,carry,snowboard
20867,113,dry,dog
10249,459,pick_up,skateboard
24691,114,feed,dog
17268,513,pack,suitcase
33794,249,hold,book
34666,90,sit_on,chair
6157,425,make,pizza
33065,62,sit_on,bus
1926,110,sit_at,dining_table
5449,179,hug,sheep
1524,508,drag,suitcase
27126,63,wash,bus
15027,466,hold,skis
1130,89,lie_on,chair
30137,140,ride,horse
16057,150,hop_on,motorcycle
25764,188,drive,train
15505,289,text_on,cell_phone
16664,272,pick_up,cake
25027,379,stick,knife
5061,457,hold,skateboard
23837,460,ride,skateboard
9694,246,sit_on,bench
33404,91,stand_on,chair
35031,287,repair,cell_phone
28885,158,walk,motorcycle
33723,478,hold,snowboard
7532,157,turn,motorcycle
27369,95,sit_on,couch
8063,480,ride,snowboard
11478,251,read,book
23488,510,hug,suitcase
32249,454,carry,skateboard
15947,265,blow,cake
10845,384,hold,laptop
37288,268,eat,cake
28548,460,ride,skateboard
11427,367,type_on,keyboard
36324,73,park,car
36774,138,pet,horse
24745,296,carry,cup
29181,496,kick,sports_ball
3218,580,open,umbrella
4202,577,carry,umbrella
5040,482,wear,snowboard
8553,166,stab,person
17224,301,sip,cup
32068,130,feed,horse
18653,103,milk,cow
1016,148,inspect,motorcycle
14801,213,wear,backpack
31906,165,kiss,person
33331,75,wash,car
30129,89,lie_on,chair
15284,377,cut_with,knife
9468,158,walk,motorcycle
9678,462,stand_on,skateboard
4920,461,sit_on,skateboard
18580,93,carry,couch
14372,246,sit_on,bench
34276,470,repair,skis
25536,69,hose,car
33591,427,slide,pizza
33516,321,ride,elephant
23608,99,hold,cow
31095,519,hold,surfboard
27672,23,wash,bicycle
33881,527,wash,surfboard
31421,40,row,boat
28999,245,lie_on,bench
18022,55,board,bus
3232,183,shear,sheep
10840,141,run,horse
10159,457,hold,skateboard
20271,125,train,dog
22232,12,hold,bicycle
27876,20,sit_on,bicycle
9695,17,push,bicycle
34231,133,hug,horse
22403,109,eat_at,dining_table
34036,461,sit_on,skateboard
17782,369,assemble,kite
27228,157,turn,motorcycle
35622,61,ride,bus
30915,33,drive,boat
36933,180,kiss,sheep
25138,579,lose,umbrella
18649,455,flip,skateboard
26003,137,hop_on,horse
6137,22,walk,bicycle
33428,593,lick,wine_glass
32021,481,stand_on,snowboard
14314,152,push,motorcycle
1452,245,lie_on,bench
15015,210,hold,backpack
9834,471,ride,skis
24631,5,inspect,airplane
32587,212,open,backpack
22449,514,pick_up,suitcase
34591,64,wave,bus
4207,159,wash,motorcycle
37845,494,hold,sports_ball
3332,155,sit_on,motorcycle
36746,134,jump,horse
1132,63,wash,bus
16582,266,carry,cake
11828,155,sit_on,motorcycle
26424,38,repair,boat
2336,25,chase,bird
14133,19,ride,bicycle
31531,222,pick,banana
22663,323,wash,elephant
30669,149,jump,motorcycle
31210,512,open,suitcase
27113,17,push,bicycle
25458,490,carry,sports_ball
17508,163,hold,person
22952,215,buy,banana
6058,250,open,book
8707,128,chase,dog
28883,491,catch,sports_ball
28510,105,ride,cow
36152,39,ride,boat
12219,102,lasso,cow
10050,94,lie_on,couch
18187,571,load,truck
36020,9,wash,airplane
6259,322,walk,elephant
34506,540,cut,tie
27001,40,row,boat
32631,285,hold,cell_phone
29757,13,inspect,bicycle
18494,123,scratch,dog
8542,21,straddle,bicycle
15891,455,flip,skateboard
26150,545,wear,tie
7361,462,stand_on,skateboard
19438,156,straddle,motorcycle
6494,242,sit_on,bed
16750,497,pick_up,sports_ball
37822,495,inspect,sports_ball
6808,364,carry,keyboard
8676,169,lick,person
27885,152,push,motorcycle
8792,154,ride,motorcycle
37266,269,hold,cake
4630,524,ride,surfboard
37022,193,wash,train
24983,581,repair,umbrella
28242,580,open,umbrella
761,288,talk_on,cell_phone
15296,378,hold,knife
11535,225,break,baseball_bat
28428,150,hop_on,motorcycle
36674,127,wash,dog
8963,22,walk,bicycle
30028,156,straddle,motorcycle
21573,462,stand_on,skateboard
24330,143,train,horse
11761,299,inspect,cup
34191,213,wear,backpack
36326,68,drive,car
29887,34,exit,boat
17852,458,jump,skateboard
32102,2,direct,airplane
2522,507,carry,suitcase
13895,578,hold,umbrella
31173,32,board,boat
24935,479,jump,snowboard
31140,50,inspect,bottle
19468,151,park,motorcycle
17946,19,ride,bicycle
28103,218,eat,banana
34729,493,hit,sports_ball
33740,422,cut,pizza
2505,59,inspect,bus
1931,366,hold,keyboard
18808,569,drive,truck
8516,34,exit,boat
37563,372,hold,kite
32303,219,hold,banana
3350,182,ride,sheep
15860,12,hold,bicycle
22821,310,make,donut
32809,57,drive,bus
32007,458,jump,skateboard
793,229,swing,baseball_bat
15616,131,groom,horse
35480,324,watch,elephant
5899,583,stand_under,umbrella
26225,100,hug,cow
13574,294,set,clock
7979,575,wash,truck
26478,316,hose,elephant
15352,184,walk,sheep
6181,35,inspect,boat
28135,420,carry,pizza
26466,33,drive,boat
28661,523,load,surfboard
18604,135,kiss,horse
17268,511,load,suitcase
21299,143,train,horse
28251,591,sip,wine_glass
12820,142,straddle,horse
5821,133,hug,horse
14245,37,launch,boat
12535,32,board,boat
37542,371,fly,kite
10898,168,teach,person
29007,209,carry,backpack
32849,15,hop_on,bicycle
34932,303,fill,cup
33881,526,sit_on,surfboard
36693,126,walk,dog
17244,240,clean,bed
33648,509,hold,suitcase
26288,144,walk,horse
7207,457,hold,skateboard
34403,267,cut,cake
31640,472,stand_on,skis
26806,370,carry,kite
2647,212,open,backpack
17224,298,hold,cup
26819,116,hold,dog
16611,95,sit_on,couch
31485,118,hug,dog
23748,387,repair,laptop
14822,64,wave,bus
12476,452,wash,sink
1132,56,direct,bus
13587,525,stand_on,surfboard
37447,337,block,frisbee
31563,155,sit_on,motorcycle
670,543,pull,tie
26698,89,lie_on,chair
33428,594,wash,wine_glass
11643,15,hop_on,bicycle
36712,142,straddle,horse
13851,43,stand_on,boat
12940,69,hose,car
26180,226,carry,baseball_bat
32182,375,pull,kite
4749,498,serve,sports_ball
9779,66,board,car
