image_id,gt_verb,gt_object,gt_verb_synset,gt_object_synset,pred_verb_synset,pred_object_synset,category,similarity_level,bin
27559,smell,cup,smell.v.01,cup.n.01,get_a_noseful.v.01,goblet.n.01,3,3,"(3, 3)"
4689,open,laptop,open.v.01,laptop.n.01,unfold.v.04,notebook.n.02,3,3,"(3, 3)"
14372,sit_on,bench,sit.v.01,bench.n.01,lounge.v.01,park_bench.n.01,3,3,"(3, 3)"
34231,hug,horse,embrace.v.02,horse.n.01,clinch.v.04,bucking_bronco.n.01,3,3,"(3, 3)"
30739,carry,bicycle,transport.v.02,bicycle.n.01,lug.v.01,safety_bicycle.n.01,3,3,"(3, 3)"
6058,open,book,open.v.01,book.n.01,unfold.v.04,reissue.n.01,3,3,"(3, 3)"
34836,hop_on,bicycle,hop_on.v.01,bicycle.n.01,remount.v.01,mountain_bike.n.01,3,3,"(3, 3)"
36276,carry,bottle,transport.v.02,bottle.n.01,haul.v.02,phial.n.01,3,3,"(3, 3)"
30517,run,horse,run.v.26,horse.n.01,run.v.26,elephant.n.01,1,1,"(1, 1)"
35967,load,airplane,load.v.01,airplane.n.01,load.v.01,cruise_missile.n.01,1,2,"(1, 2)"
4447,carry,surfboard,transport.v.02,surfboard.n.01,transport.v.02,snowboard.n.01,1,3,"(1, 3)"
9695,push,bicycle,push.v.01,bicycle.n.01,push.v.01,safety_bicycle.n.01,1,4,"(1, 4)"
6921,straddle,bicycle,straddle.v.01,bicycle.n.01,vault.v.02,bicycle.n.01,2,1,"(2, 1)"
22232,hold,bicycle,hold.v.02,bicycle.n.01,nab.v.03,bicycle.n.01,2,2,"(2, 2)"
1452,lie_on,bench,lie.v.02,bench.n.01,recumb.v.01,bench.n.01,2,3,"(2, 3)"
32127,load,horse,load.v.01,horse.n.01,water.v.02,pinto.n.01,3,1,"(3, 1)"
28428,hop_on,motorcycle,hop_on.v.01,motorcycle.n.01,remount.v.02,motor_vehicle.n.01,3,2,"(3, 2)"
27126,wash,bus,wash.v.03,bus.n.01,deterge.v.01,shuttle_bus.n.01,3,3,"(3, 3)"
8707,chase,dog,chase.v.01,dog.n.01,chase.v.01,arctic_fox.n.01,1,1,"(1, 1)"
29493,toast,wine_glass,toast.v.02,wineglass.n.01,toast.v.02,demitasse.n.02,1,2,"(1, 2)"
1371,repair,truck,repair.v.01,truck.n.01,repair.v.01,lorry.n.02,1,3,"(1, 3)"
35490,jump,bicycle,jump.v.01,bicycle.n.01,jump.v.01,push-bike.n.01,1,4,"(1, 4)"
33898,hold,motorcycle,hold.v.02,motorcycle.n.01,pin.v.04,motorcycle.n.01,2,1,"(2, 1)"
23837,ride,skateboard,ride.v.01,skateboard.n.01,rein.v.03,skateboard.n.01,2,2,"(2, 2)"
13765,ride,truck,ride.v.01,truck.n.01,motorbike.v.01,truck.n.01,2,3,"(2, 3)"
23521,carry,pizza,transport.v.02,pizza.n.01,rack_up.v.02,roulade.n.01,3,1,"(3, 1)"
25077,stand_on,skateboard,stand.v.01,skateboard.n.01,stand.v.07,surfboard.n.01,3,2,"(3, 2)"
20271,train,dog,coach.v.01,dog.n.01,mentor.v.01,black-and-tan_coonhound.n.01,3,3,"(3, 3)"
24210,hold,tie,hold.v.02,necktie.n.01,hold.v.02,tabard.n.01,1,1,"(1, 1)"
23759,kiss,elephant,snog.v.01,elephant.n.01,snog.v.01,new_world_tapir.n.01,1,2,"(1, 2)"
33429,jump,motorcycle,jump.v.01,motorcycle.n.01,jump.v.01,minibike.n.01,1,3,"(1, 3)"
23488,hug,suitcase,embrace.v.02,bag.n.06,embrace.v.02,gripsack.n.01,1,4,"(1, 4)"
13574,set,clock,set.v.08,clock.n.01,set.v.18,clock.n.01,2,1,"(2, 1)"
26806,carry,kite,transport.v.02,kite.n.03,shoulder.v.01,kite.n.03,2,2,"(2, 2)"
10840,run,horse,run.v.26,horse.n.01,trot.v.03,horse.n.01,2,3,"(2, 3)"
1624,carry,skateboard,transport.v.02,skateboard.n.01,kite.v.04,moped.n.01,3,1,"(3, 1)"
4749,serve,sports_ball,serve.v.15,ball.n.01,project.v.11,object_ball.n.01,3,2,"(3, 2)"
34403,cut,cake,cut.v.01,cake.n.03,shear.v.03,gateau.n.01,3,3,"(3, 3)"
31640,wear,skis,wear.v.09,ski.n.01,wear.v.09,blade.n.07,1,1,"(1, 1)"
11478,read,book,read.v.01,book.n.01,read.v.01,formulary.n.01,1,2,"(1, 2)"
8542,straddle,bicycle,straddle.v.01,bicycle.n.01,straddle.v.01,velocipede.n.01,1,3,"(1, 3)"
26003,hop_on,horse,hop_on.v.01,horse.n.01,hop_on.v.01,stud.n.04,1,4,"(1, 4)"
28103,eat,banana,eat.v.01,banana.n.02,take.v.04,banana.n.02,2,1,"(2, 1)"
32250,ride,motorcycle,ride.v.01,motorcycle.n.01,mush.v.01,motorcycle.n.01,2,2,"(2, 2)"
34729,hit,sports_ball,hit.v.01,ball.n.01,snick.v.01,ball.n.01,2,3,"(2, 3)"
33881,sit_on,surfboard,sit.v.01,surfboard.n.01,bench.v.02,centerboard.n.01,3,1,"(3, 1)"
36746,jump,horse,jump.v.01,horse.n.01,vault.v.01,grey.n.07,3,2,"(3, 2)"
33428,fill,wine_glass,fill.v.01,wineglass.n.01,top_off.v.02,glass.n.02,3,3,"(3, 3)"
28135,carry,pizza,transport.v.02,pizza.n.01,transport.v.02,welsh_rarebit.n.01,1,1,"(1, 1)"
36099,stand_on,boat,stand.v.01,boat.n.01,stand.v.01,brig.n.01,1,2,"(1, 2)"
37563,hold,kite,hold.v.02,kite.n.03,hold.v.02,sport_kite.n.01,1,3,"(1, 3)"
8575,straddle,bicycle,straddle.v.01,bicycle.n.01,straddle.v.01,push-bike.n.01,1,4,"(1, 4)"
3218,open,umbrella,open.v.01,umbrella.n.01,slit.v.01,umbrella.n.01,2,1,"(2, 1)"
8684,grind,skateboard,slide.v.03,skateboard.n.01,slip_on.v.01,skateboard.n.01,2,2,"(2, 2)"
34666,sit_on,chair,sit.v.01,chair.n.01,lounge.v.01,chair.n.01,2,3,"(2, 3)"
9899,smell,donut,smell.v.01,doughnut.n.02,rout.v.02,tostada.n.02,3,1,"(3, 1)"
4136,pet,elephant,pet.v.01,elephant.n.01,dab.v.02,mastodon.n.01,3,2,"(3, 2)"
35974,fly,airplane,fly.v.03,airplane.n.01,jet.v.02,bogy.n.01,3,3,"(3, 3)"
2522,carry,suitcase,transport.v.02,bag.n.06,transport.v.02,planter.n.03,1,1,"(1, 1)"
32128,straddle,dog,straddle.v.01,dog.n.01,straddle.v.01,bouvier_des_flandres.n.01,1,2,"(1, 2)"
28883,catch,sports_ball,catch.v.04,ball.n.01,catch.v.04,cricket_ball.n.01,1,3,"(1, 3)"
17875,ride,horse,ride.v.01,horse.n.01,ride.v.01,bucking_bronco.n.01,1,4,"(1, 4)"
31563,sit_on,motorcycle,sit.v.01,motorcycle.n.01,lean.v.01,motorcycle.n.01,2,1,"(2, 1)"
7492,carry,backpack,transport.v.02,backpack.n.01,transfer.v.02,backpack.n.01,2,2,"(2, 2)"
8553,stab,person,stab.v.02,person.n.01,strike.v.20,person.n.01,2,3,"(2, 3)"
11314,hold,hair_drier,hold.v.02,hand_blower.n.01,net.v.04,pipe_bomb.n.01,3,1,"(3, 1)"
16750,pick_up,sports_ball,pick_up.v.02,ball.n.01,take.v.08,field_hockey_ball.n.01,3,2,"(3, 2)"
18089,carry,cell_phone,transport.v.02,cellular_telephone.n.01,lug.v.01,video_ipod.n.01,3,3,"(3, 3)"
28885,walk,motorcycle,walk.v.09,motorcycle.n.01,walk.v.09,sports_car.n.01,1,1,"(1, 1)"
15992,open,bottle,open.v.01,bottle.n.01,open.v.01,erlenmeyer_flask.n.01,1,2,"(1, 2)"
2017,open,microwave,open.v.01,microwave.n.01,gap.v.01,microwave.n.01,2,1,"(2, 1)"
25536,hose,car,hose.v.01,car.n.01,hose.v.01,electric.n.01,1,4,"(1, 4)"
4373,hop_on,elephant,hop_on.v.01,elephant.n.01,hop_on.v.01,african_elephant.n.01,1,4,"(1, 4)"
